iteration,G_loss,D_fake_loss,D_real_loss
0,0.7084987163543701,0.6787925958633423,0.6817817091941833
500,4.36187219619751,0.13098028302192688,0.05192377418279648
547,3.137429714202881,0.1722397804260254,0.2925538718700409
1047,5.363107204437256,0.06339665502309799,0.0267056692391634
1094,5.033261299133301,0.11593139171600342,0.0042855022475123405
1594,5.604198455810547,0.07493489980697632,0.06349043548107147
1641,4.294192314147949,0.10989440977573395,0.559464693069458
2141,3.290895462036133,0.053069643676280975,0.34019097685813904
2188,4.498598575592041,0.19130077958106995,0.02686905860900879
2688,3.2744131088256836,0.2114323377609253,0.13976559042930603
